name,url,url status,api_endpoint,api status
NCVAS State Summaries - TX Facilities (Unclassified),https://capmanagementllc.partner.socrata.com/d/hwnx-edtm,,https://capmanagementllc.partner.socrata.com/resource/hwnx-edtm.json,
VA Facilities.Colorado.Cemetery,https://capmanagementllc.partner.socrata.com/d/2q35-66ki,,https://capmanagementllc.partner.socrata.com/resource/2q35-66ki.json,
CDC Leading Health Indicators,https://capmanagementllc.partner.socrata.com/stories/s/n8rz-umwp/preview,,,
High School Smokers Graph,https://capmanagementllc.partner.socrata.com/stories/s/d3ih-8yfz/preview,,,
6.3.2 Data Set for Testing 8_9_22,https://capmanagementllc.partner.socrata.com/d/hxjf-n8bj,,https://capmanagementllc.partner.socrata.com/resource/hxjf-n8bj.json,
testTester,https://capmanagementllc.partner.socrata.com/d/apjz-wffb/revisions/0,,,
NOAA S.O. 1.1 Test,https://capmanagementllc.partner.socrata.com/stories/s/nc79-fhpc/preview,,,
Test Measure GPRA 1.1,https://capmanagementllc.partner.socrata.com/d/hhz2-jekw,,,
Copy of New York (H)_Embed Legend,https://capmanagementllc.partner.socrata.com/stories/s/qrkv-fhfc/preview,,,
svg in map,https://capmanagementllc.partner.socrata.com/stories/s/2jpn-nyw6/preview,,,
NCVAS State Summaries - VA Facilities,https://capmanagementllc.partner.socrata.com/d/ih2i-9pwq/revisions/1,,,
View based on NCVAS County Vet Pop,https://capmanagementllc.partner.socrata.com/d/k3sn-5hwe,,https://capmanagementllc.partner.socrata.com/resource/k3sn-5hwe.json,
View based on Alabama Population by County,https://capmanagementllc.partner.socrata.com/d/247i-w86d,,https://capmanagementllc.partner.socrata.com/resource/247i-w86d.json,
Only Fips,https://capmanagementllc.partner.socrata.com/d/g8sy-2kdp,,https://capmanagementllc.partner.socrata.com/resource/g8sy-2kdp.json,
Sprint 0_example,https://capmanagementllc.partner.socrata.com/d/828s-z8ru,,https://capmanagementllc.partner.socrata.com/resource/828s-z8ru.json,
LA County,https://capmanagementllc.partner.socrata.com/d/pqvj-dwnx,,https://capmanagementllc.partner.socrata.com/resource/pqvj-dwnx.json,
Narn3,https://capmanagementllc.partner.socrata.com/d/v6zq-n56w/revisions/2,,,
Test Measure GPRA 1.1,https://capmanagementllc.partner.socrata.com/d/g6j5-tz8i,,,
TEST,https://capmanagementllc.partner.socrata.com/d/whyk-sat9/revisions/0,,,
dvdvdvf,https://capmanagementllc.partner.socrata.com/d/9nvt-raza,,https://capmanagementllc.partner.socrata.com/resource/9nvt-raza.json,
2023_VA State Summaries_vetpop_gender,https://capmanagementllc.partner.socrata.com/d/t88k-z6n9,,https://capmanagementllc.partner.socrata.com/resource/t88k-z6n9.json,
why is it not showing?,https://capmanagementllc.partner.socrata.com/d/5m35-2rvw,,https://capmanagementllc.partner.socrata.com/resource/5m35-2rvw.json,
View based on NCVAS State Summaries - VA Facilities,https://capmanagementllc.partner.socrata.com/d/6e6n-tux5,,https://capmanagementllc.partner.socrata.com/resource/6e6n-tux5.json,
Massachusetts,https://capmanagementllc.partner.socrata.com/stories/s/vwct-xphg,,,
Food Access Research Atlas,https://capmanagementllc.partner.socrata.com/d/fht6-ps88/revisions/0,,,
ASC 2020 Map by County,https://capmanagementllc.partner.socrata.com/d/979e-6q98,,https://capmanagementllc.partner.socrata.com/resource/979e-6q98.json,
pdf example tester,https://capmanagementllc.partner.socrata.com/stories/s/pare-c9tm/preview,,,
Logs Test,https://capmanagementllc.partner.socrata.com/d/4hfm-xsnr/revisions/256,,,
Validator Logs,https://capmanagementllc.partner.socrata.com/d/ir2s-fux5/revisions/16,,,
Logs Test,https://capmanagementllc.partner.socrata.com/d/4hfm-xsnr/revisions/255,,,
Validator Logs,https://capmanagementllc.partner.socrata.com/d/ir2s-fux5/revisions/13,,,
Logs Test,https://capmanagementllc.partner.socrata.com/d/4hfm-xsnr/revisions/261,,,
Logs Test,https://capmanagementllc.partner.socrata.com/d/4hfm-xsnr/revisions/257,,,
Validator Logs T,https://capmanagementllc.partner.socrata.com/d/dgva-mvdt/revisions/30,,,
Validator Logs T,https://capmanagementllc.partner.socrata.com/d/dgva-mvdt/revisions/54,,,
Validator Logs T,https://capmanagementllc.partner.socrata.com/d/dgva-mvdt/revisions/44,,,
Validator Logs T,https://capmanagementllc.partner.socrata.com/d/dgva-mvdt/revisions/51,,,
data with state codes,https://capmanagementllc.partner.socrata.com/d/3hkm-xu8f,,https://capmanagementllc.partner.socrata.com/resource/3hkm-xu8f.json,
Powershell Update Example,https://capmanagementllc.partner.socrata.com/d/hc38-3ewh,,https://capmanagementllc.partner.socrata.com/resource/hc38-3ewh.json,
Form 55A Highway-Rail Grade Crossing Accident Data - Team 2,https://capmanagementllc.partner.socrata.com/d/jciw-fjip,,https://capmanagementllc.partner.socrata.com/resource/jciw-fjip.json,
HIGHWAY-RAIL INCIDENTS BY STATE,https://capmanagementllc.partner.socrata.com/stories/s/hjux-cin3,,,
Texas View,https://capmanagementllc.partner.socrata.com/d/stfm-25gh,,https://capmanagementllc.partner.socrata.com/resource/stfm-25gh.json,
Texas Other Motor Vehicle,https://capmanagementllc.partner.socrata.com/d/daen-r2nw,,https://capmanagementllc.partner.socrata.com/resource/daen-r2nw.json,
NOAA - Number of space policy related decision,https://capmanagementllc.partner.socrata.com/d/bfgq-e77u,,https://capmanagementllc.partner.socrata.com/resource/bfgq-e77u.json,
1.11 Trespass Fatal,https://capmanagementllc.partner.socrata.com/d/dzvd-xw9n,,https://capmanagementllc.partner.socrata.com/resource/dzvd-xw9n.json,
Form 57 with Multipolygon 102422,https://capmanagementllc.partner.socrata.com/d/t4vy-bmyu,,https://capmanagementllc.partner.socrata.com/resource/t4vy-bmyu.json,
5.08 Frequency Of Crossing Collisions - By Most Fatal Incidents,https://capmanagementllc.partner.socrata.com/d/2iya-3pk7,,https://capmanagementllc.partner.socrata.com/resource/2iya-3pk7.json,
Image AmeriCorps,https://capmanagementllc.partner.socrata.com/d/tm9j-asik,,https://capmanagementllc.partner.socrata.com/resource/tm9j-asik.json,
DOT FRA - Olrik's Dataset (Cleaned Up),https://capmanagementllc.partner.socrata.com/d/gxuq-cmd2/revisions/3,,,
UPDATED Copy of [How-To Guide] - FME License Manager and Floating License Installation and Configuration_v1,https://capmanagementllc.partner.socrata.com/stories/s/swkt-gcxv,,,
va-img,https://capmanagementllc.partner.socrata.com/stories/s/jmfd-qwm3/preview,,,
Graph by Vehicle Type,https://capmanagementllc.partner.socrata.com/d/8ce7-9mjz,,https://capmanagementllc.partner.socrata.com/resource/8ce7-9mjz.json,
Powershell Update Example,https://capmanagementllc.partner.socrata.com/d/hc38-3ewh/revisions/2,,,
State Incidents,https://capmanagementllc.partner.socrata.com/d/cr2s-epei,,https://capmanagementllc.partner.socrata.com/resource/cr2s-epei.json,
DOT Objective 1.1.3,https://capmanagementllc.partner.socrata.com/d/enp6-txsh,,https://capmanagementllc.partner.socrata.com/resource/enp6-txsh.json,
Ocio 6.3.2 Objective,https://capmanagementllc.partner.socrata.com/stories/s/ffsu-q4zs,,,
Data Catalog,https://capmanagementllc.partner.socrata.com/stories/s/arqd-s8z2,,,
r2,https://capmanagementllc.partner.socrata.com/d/krng-wtry,,https://capmanagementllc.partner.socrata.com/resource/krng-wtry.json,
at,https://capmanagementllc.partner.socrata.com/d/fnkv-z492,,https://capmanagementllc.partner.socrata.com/resource/fnkv-z492.json,
CMS Accountable Care Organization Participants,https://capmanagementllc.partner.socrata.com/d/6ra3-zb4u/revisions/1,,,
CMS Accountable Care Organization Skilled Nursing Facility Affiliates,https://capmanagementllc.partner.socrata.com/d/gr4b-yjhy/revisions/1,,,
Testing Filters,https://capmanagementllc.partner.socrata.com/d/suyn-xfrh,,https://capmanagementllc.partner.socrata.com/resource/suyn-xfrh.json,
5.10 Alabama for Filtering,https://capmanagementllc.partner.socrata.com/d/k57t-mhp7,,https://capmanagementllc.partner.socrata.com/resource/k57t-mhp7.json,
5.14 Warning Public Other,https://capmanagementllc.partner.socrata.com/d/2u6z-tjpf,,https://capmanagementllc.partner.socrata.com/resource/2u6z-tjpf.json,
4.13 State Injured Age 0 to 12,https://capmanagementllc.partner.socrata.com/d/5rws-tyte,,https://capmanagementllc.partner.socrata.com/resource/5rws-tyte.json,
4.13 State Injured Age 30 to 39,https://capmanagementllc.partner.socrata.com/d/eh3b-68un,,https://capmanagementllc.partner.socrata.com/resource/eh3b-68un.json,
5.14 Warning Tables Joined,https://capmanagementllc.partner.socrata.com/d/eyvh-5c9b,,https://capmanagementllc.partner.socrata.com/resource/eyvh-5c9b.json,
Example,https://capmanagementllc.partner.socrata.com/stories/s/mh5p-99p9/preview,,,
View based on NCVAS State Summaries - VA Facilities,https://capmanagementllc.partner.socrata.com/d/upzv-csv4,,https://capmanagementllc.partner.socrata.com/resource/upzv-csv4.json,
County Vet Pop_Pennsylvania,https://capmanagementllc.partner.socrata.com/d/t445-i3ee,,https://capmanagementllc.partner.socrata.com/resource/t445-i3ee.json,
County Vet Pop_Utah,https://capmanagementllc.partner.socrata.com/d/5w5y-emik,,https://capmanagementllc.partner.socrata.com/resource/5w5y-emik.json,
County Vet Pop_Iowa,https://capmanagementllc.partner.socrata.com/d/pkbj-viuv,,https://capmanagementllc.partner.socrata.com/resource/pkbj-viuv.json,
County Vet Pop_North Carolina,https://capmanagementllc.partner.socrata.com/d/ihv9-h2f3,,https://capmanagementllc.partner.socrata.com/resource/ihv9-h2f3.json,
County Vet Pop_Minnesota,https://capmanagementllc.partner.socrata.com/d/nxdf-59h3,,https://capmanagementllc.partner.socrata.com/resource/nxdf-59h3.json,
County Vet Pop_Maryland,https://capmanagementllc.partner.socrata.com/d/rng2-4qid,,https://capmanagementllc.partner.socrata.com/resource/rng2-4qid.json,
County Vet Pop_Arkansas,https://capmanagementllc.partner.socrata.com/d/2etb-ekbh,,https://capmanagementllc.partner.socrata.com/resource/2etb-ekbh.json,
County Vet Pop (Alabama),https://capmanagementllc.partner.socrata.com/d/6n7d-2wv8,,https://capmanagementllc.partner.socrata.com/resource/6n7d-2wv8.json,
County Vet Pop_Connecticut,https://capmanagementllc.partner.socrata.com/d/qhs9-ttdt,,https://capmanagementllc.partner.socrata.com/resource/qhs9-ttdt.json,
Copy of Reviewer Test (delete me),https://capmanagementllc.partner.socrata.com/stories/s/pa4z-ez56/preview,,,
ASC 2020 with Geometry,https://capmanagementllc.partner.socrata.com/d/v97w-ctu4,,https://capmanagementllc.partner.socrata.com/resource/v97w-ctu4.json,
CMS Accountable Care Organization Skilled Nursing Facility Affiliates,https://capmanagementllc.partner.socrata.com/d/x866-ncx4,,https://capmanagementllc.partner.socrata.com/resource/x866-ncx4.json,
GDX VA 21 test,https://capmanagementllc.partner.socrata.com/d/atnt-pr23/revisions/0,,,
CMS Comprehensive Care for Joint Replacement Model: Metropolitan Statistical Areas,https://capmanagementllc.partner.socrata.com/d/d9qf-9fkp,,https://capmanagementllc.partner.socrata.com/resource/d9qf-9fkp.json,
Prescribed_Medicines,https://capmanagementllc.partner.socrata.com/d/885k-fha5,,https://capmanagementllc.partner.socrata.com/resource/885k-fha5.json,
Casualty by Category,https://capmanagementllc.partner.socrata.com/stories/s/k3xe-3x5x,,,
Idaho,https://capmanagementllc.partner.socrata.com/stories/s/rfd8-r5da,,,
View based on Form 55A Highway-Rail Grade Crossing Accident Data - Team 2,https://capmanagementllc.partner.socrata.com/d/etgf-iqh8,,https://capmanagementllc.partner.socrata.com/resource/etgf-iqh8.json,
2021 County Boundaries,https://capmanagementllc.partner.socrata.com/d/wvn7-v74c,,https://capmanagementllc.partner.socrata.com/resource/wvn7-v74c.json,
Local Law 44 Projects,https://capmanagementllc.partner.socrata.com/d/tgif-vesi,,https://capmanagementllc.partner.socrata.com/resource/tgif-vesi.json,
Michigan Counties,https://capmanagementllc.partner.socrata.com/d/mppt-854r,,https://capmanagementllc.partner.socrata.com/resource/mppt-854r.json,
Dataset Example,https://capmanagementllc.partner.socrata.com/d/ugz7-axuf,,https://capmanagementllc.partner.socrata.com/resource/ugz7-axuf.json,
Massachusetts Counties,https://capmanagementllc.partner.socrata.com/d/itxk-5qm6,,https://capmanagementllc.partner.socrata.com/resource/itxk-5qm6.json,
delete me again,https://capmanagementllc.partner.socrata.com/stories/s/7szr-siv2/preview,,,
VA Facilities.Montana.Vet Center,https://capmanagementllc.partner.socrata.com/d/nt53-xi8k,,https://capmanagementllc.partner.socrata.com/resource/nt53-xi8k.json,
Facilities.South Carolina.Vet Center,https://capmanagementllc.partner.socrata.com/d/ut2h-edc7,,https://capmanagementllc.partner.socrata.com/resource/ut2h-edc7.json,
VA Facilities.Ohio.Inpatient Care Sites,https://capmanagementllc.partner.socrata.com/d/sqbt-2sus,,https://capmanagementllc.partner.socrata.com/resource/sqbt-2sus.json,
VA Facilities.Colorado.Inpatient_Care_Sites,https://capmanagementllc.partner.socrata.com/d/dmz8-4w5w,,https://capmanagementllc.partner.socrata.com/resource/dmz8-4w5w.json,
VA Facilities.Minnesota.Regional Office,https://capmanagementllc.partner.socrata.com/d/r992-kzne,,https://capmanagementllc.partner.socrata.com/resource/r992-kzne.json,
VA Facilities.Michigan.VA Clinic,https://capmanagementllc.partner.socrata.com/d/9kga-nq6h,,https://capmanagementllc.partner.socrata.com/resource/9kga-nq6h.json,
VA Facilities.Pennsylvania,https://capmanagementllc.partner.socrata.com/d/wipe-zfqs,,https://capmanagementllc.partner.socrata.com/resource/wipe-zfqs.json,
VA Facilities.Kansas.VA Medical Center,https://capmanagementllc.partner.socrata.com/d/s98j-jr26,,https://capmanagementllc.partner.socrata.com/resource/s98j-jr26.json,
VA Clinic_KY,https://capmanagementllc.partner.socrata.com/d/tvfd-3q85,,https://capmanagementllc.partner.socrata.com/resource/tvfd-3q85.json,
VA Facilities.South Dakota,https://capmanagementllc.partner.socrata.com/d/fr9u-nawt,,https://capmanagementllc.partner.socrata.com/resource/fr9u-nawt.json,
Facilities.Vermont.VA Clinic,https://capmanagementllc.partner.socrata.com/d/6f85-8asf,,https://capmanagementllc.partner.socrata.com/resource/6f85-8asf.json,
VA Facilities (CA).VA_Clinic,https://capmanagementllc.partner.socrata.com/d/2kx4-ucds,,https://capmanagementllc.partner.socrata.com/resource/2kx4-ucds.json,
NY- VA Facilities.Inpatient Care Sites,https://capmanagementllc.partner.socrata.com/d/c3m7-245b,,https://capmanagementllc.partner.socrata.com/resource/c3m7-245b.json,
VA Facilities.Arkansas.Inpatient_Care_Sites,https://capmanagementllc.partner.socrata.com/d/9hsd-scar,,https://capmanagementllc.partner.socrata.com/resource/9hsd-scar.json,
VA Facilities.Nevada.Inpatient Care Sites,https://capmanagementllc.partner.socrata.com/d/bx7k-ifdu,,https://capmanagementllc.partner.socrata.com/resource/bx7k-ifdu.json,
NY- VA Facilities.Vet Center,https://capmanagementllc.partner.socrata.com/d/72xg-kur5,,https://capmanagementllc.partner.socrata.com/resource/72xg-kur5.json,
VA Facilities.Mississippi.Inpatient Care Sites,https://capmanagementllc.partner.socrata.com/d/cw5u-s9t7,,https://capmanagementllc.partner.socrata.com/resource/cw5u-s9t7.json,
Facilities.Utah.Regional Office,https://capmanagementllc.partner.socrata.com/d/3it4-m73t,,https://capmanagementllc.partner.socrata.com/resource/3it4-m73t.json,
State Summaries - VA Facilities (CA),https://capmanagementllc.partner.socrata.com/d/wgiv-46dd,,https://capmanagementllc.partner.socrata.com/resource/wgiv-46dd.json,
VA Facilities.Maryland.VA Medical Center,https://capmanagementllc.partner.socrata.com/d/4fyf-6bv4,,https://capmanagementllc.partner.socrata.com/resource/4fyf-6bv4.json,
WI - VA Facilities.Cemetery,https://capmanagementllc.partner.socrata.com/d/bsjx-27uk,,https://capmanagementllc.partner.socrata.com/resource/bsjx-27uk.json,
VA Facilities.New Hampshire.Vet Center,https://capmanagementllc.partner.socrata.com/d/uqhe-zxcz,,https://capmanagementllc.partner.socrata.com/resource/uqhe-zxcz.json,
Facilities.Pennsylvania.Vet Center,https://capmanagementllc.partner.socrata.com/d/wuk8-sbdq,,https://capmanagementllc.partner.socrata.com/resource/wuk8-sbdq.json,
VA Facilities.Oklahoma.Inpatient Care Sites,https://capmanagementllc.partner.socrata.com/d/h3zv-d4pv,,https://capmanagementllc.partner.socrata.com/resource/h3zv-d4pv.json,
Facilities.South Dakota.Cemetery,https://capmanagementllc.partner.socrata.com/d/7pmd-zcrt,,https://capmanagementllc.partner.socrata.com/resource/7pmd-zcrt.json,
VA Medical Center_KY,https://capmanagementllc.partner.socrata.com/d/dcmm-yazq,,https://capmanagementllc.partner.socrata.com/resource/dcmm-yazq.json,
State Summaries - VA Facilities.Alaska,https://capmanagementllc.partner.socrata.com/d/yuwx-sy9j,,https://capmanagementllc.partner.socrata.com/resource/yuwx-sy9j.json,
Kansas.Regional Office,https://capmanagementllc.partner.socrata.com/d/9h3f-6t9e,,https://capmanagementllc.partner.socrata.com/resource/9h3f-6t9e.json,
VA Facilities.Michigan.Cemetery,https://capmanagementllc.partner.socrata.com/d/32f4-e8dc,,https://capmanagementllc.partner.socrata.com/resource/32f4-e8dc.json,
VA Facilities.Hawaii.Cemetery,https://capmanagementllc.partner.socrata.com/d/kdrh-383j,,https://capmanagementllc.partner.socrata.com/resource/kdrh-383j.json,
VA State Summary example chart,https://capmanagementllc.partner.socrata.com/d/q7aa-kebk,,https://capmanagementllc.partner.socrata.com/resource/q7aa-kebk.json,
VA Facilities.Delaware.Cemetery,https://capmanagementllc.partner.socrata.com/d/x4f3-7iiu,,https://capmanagementllc.partner.socrata.com/resource/x4f3-7iiu.json,
Facilities.Vermont.Inpatient Care Sites,https://capmanagementllc.partner.socrata.com/d/ecjt-ejjm,,https://capmanagementllc.partner.socrata.com/resource/ecjt-ejjm.json,
VA Facilities (CA).Regional_Office,https://capmanagementllc.partner.socrata.com/d/i5pr-rzeg,,https://capmanagementllc.partner.socrata.com/resource/i5pr-rzeg.json,
Facilities.Pennsylvania.Cemetery,https://capmanagementllc.partner.socrata.com/d/eyg4-chgf,,https://capmanagementllc.partner.socrata.com/resource/eyg4-chgf.json,
Facilities.Arizona.Inpatient Care Sites,https://capmanagementllc.partner.socrata.com/d/m9vu-uhd8,,https://capmanagementllc.partner.socrata.com/resource/m9vu-uhd8.json,
VA Facilities.North Dakota.VA Clinic,https://capmanagementllc.partner.socrata.com/d/bvt9-e3dc,,https://capmanagementllc.partner.socrata.com/resource/bvt9-e3dc.json,
2023_VA State Summaries_Vet Age Pop,https://capmanagementllc.partner.socrata.com/d/xxb2-vq65,,https://capmanagementllc.partner.socrata.com/resource/xxb2-vq65.json,
2023_NCVAS State Summary_Alabama,https://capmanagementllc.partner.socrata.com/stories/s/cc2y-gre7,,,
GRPA AUTH TEST,https://capmanagementllc.partner.socrata.com/d/bksg-nthi,,https://capmanagementllc.partner.socrata.com/resource/bksg-nthi.json,
OCIO 6.3.2 Table V2,https://capmanagementllc.partner.socrata.com/d/ekci-tjzd,,https://capmanagementllc.partner.socrata.com/resource/ekci-tjzd.json,
Test Run,https://capmanagementllc.partner.socrata.com/d/27gv-h7fv/revisions/1,,,
covid bar chart,https://capmanagementllc.partner.socrata.com/d/y39p-8qr9,,https://capmanagementllc.partner.socrata.com/resource/y39p-8qr9.json,
Guam,https://capmanagementllc.partner.socrata.com/stories/s/36aw-iene,,,
CMS Accountable Care Organization Skilled Nursing Facility Affiliates,https://capmanagementllc.partner.socrata.com/d/gr4b-yjhy,,https://capmanagementllc.partner.socrata.com/resource/gr4b-yjhy.json,
CMS Agency for Healthcare Research and Quality (AHRQ) Patient Safety Indicator 11 (PSI-11) Measure Rates,https://capmanagementllc.partner.socrata.com/d/a4t6-nprq,,https://capmanagementllc.partner.socrata.com/resource/a4t6-nprq.json,
Test - Objective 1.1.4,https://capmanagementllc.partner.socrata.com/d/dhuu-6fcf,,https://capmanagementllc.partner.socrata.com/resource/dhuu-6fcf.json,
Validator Logs T,https://capmanagementllc.partner.socrata.com/d/dgva-mvdt/revisions/49,,,
Validator Logs T,https://capmanagementllc.partner.socrata.com/d/dgva-mvdt/revisions/37,,,
Validator Logs T,https://capmanagementllc.partner.socrata.com/d/dgva-mvdt/revisions/36,,,
Validator Logs T,https://capmanagementllc.partner.socrata.com/d/dgva-mvdt/revisions/24,,,
Validator Logs T,https://capmanagementllc.partner.socrata.com/d/dgva-mvdt/revisions/41,,,
Validator Logs T,https://capmanagementllc.partner.socrata.com/d/dgva-mvdt/revisions/26,,,
Validator Logs T,https://capmanagementllc.partner.socrata.com/d/dgva-mvdt/revisions/29,,,
Validator Logs T,https://capmanagementllc.partner.socrata.com/d/dgva-mvdt/revisions/33,,,
Validator Logs T,https://capmanagementllc.partner.socrata.com/d/dgva-mvdt/revisions/58,,,
multipolygon county dataset,https://capmanagementllc.partner.socrata.com/d/ebyw-2bsg,,https://capmanagementllc.partner.socrata.com/resource/ebyw-2bsg.json,
Counties Map Example,https://capmanagementllc.partner.socrata.com/d/dqpm-a3gx,,https://capmanagementllc.partner.socrata.com/resource/dqpm-a3gx.json,
Colorado,https://capmanagementllc.partner.socrata.com/stories/s/fr7p-5949,,,
Mississippi,https://capmanagementllc.partner.socrata.com/stories/s/3rzz-4tdt,,,
NARN (2.0),https://capmanagementllc.partner.socrata.com/d/xkng-usgc/revisions/0,,,
CA Van,https://capmanagementllc.partner.socrata.com/d/nvfv-kk5w,,https://capmanagementllc.partner.socrata.com/resource/nvfv-kk5w.json,
CA Other 19-22,https://capmanagementllc.partner.socrata.com/d/du9n-xq4g/revisions/2,,https://capmanagementllc.partner.socrata.com/resource/du9n-xq4g:2.json,
example delete,https://capmanagementllc.partner.socrata.com/stories/s/qh7m-64hj/preview,,,
Total Incidents by Year,https://capmanagementllc.partner.socrata.com/d/66n4-remv,,https://capmanagementllc.partner.socrata.com/resource/66n4-remv.json,
Only Fips,https://capmanagementllc.partner.socrata.com/d/pshe-xe56,,https://capmanagementllc.partner.socrata.com/resource/pshe-xe56.json,
how many cells blank (name),https://capmanagementllc.partner.socrata.com/d/q43z-iijv,,https://capmanagementllc.partner.socrata.com/resource/q43z-iijv.json,
County Vet Pop_South Dakota,https://capmanagementllc.partner.socrata.com/d/cwnq-j3fr,,https://capmanagementllc.partner.socrata.com/resource/cwnq-j3fr.json,
County Vet Pop_Oklahoma,https://capmanagementllc.partner.socrata.com/d/avqy-8c4c,,https://capmanagementllc.partner.socrata.com/resource/avqy-8c4c.json,
County Vet Pop_Michigan,https://capmanagementllc.partner.socrata.com/d/yfvi-zapz,,https://capmanagementllc.partner.socrata.com/resource/yfvi-zapz.json,
Table 6.3.2,https://capmanagementllc.partner.socrata.com/d/tqpv-46q7,,https://capmanagementllc.partner.socrata.com/resource/tqpv-46q7.json,
CMS Comprehensive Care for Joint Replacement Model: Metropolitan Statistical Areas,https://capmanagementllc.partner.socrata.com/d/s2db-r8i5/revisions/1,,,
View based on County Vet Pop_Michigan,https://capmanagementllc.partner.socrata.com/d/xvid-kygp,,https://capmanagementllc.partner.socrata.com/resource/xvid-kygp.json,
Railway West,https://capmanagementllc.partner.socrata.com/d/rdpb-y2eg,,https://capmanagementllc.partner.socrata.com/resource/rdpb-y2eg.json,
NCVAS VA Expenditures for State Summaries,https://capmanagementllc.partner.socrata.com/d/xs3u-jfkm,,https://capmanagementllc.partner.socrata.com/resource/xs3u-jfkm.json,
NCVAS SS Prototype,https://capmanagementllc.partner.socrata.com/stories/s/s9n4-hvdi/preview,,,
5.10 Highway Rail Incidents Story,https://capmanagementllc.partner.socrata.com/stories/s/duuv-4b8k/preview,,,
5.15 Consolidated Hwy Rail Accident Incident,https://capmanagementllc.partner.socrata.com/d/4eub-7q4j,,https://capmanagementllc.partner.socrata.com/resource/4eub-7q4j.json,
Reviewer Two Logs,https://capmanagementllc.partner.socrata.com/d/heu8-2n6n,,https://capmanagementllc.partner.socrata.com/resource/heu8-2n6n.json,
Test Aggregation_2,https://capmanagementllc.partner.socrata.com/d/xqvp-npz9,,https://capmanagementllc.partner.socrata.com/resource/xqvp-npz9.json,
Form 57 (Team Uno),https://capmanagementllc.partner.socrata.com/d/ui7r-hsup,,https://capmanagementllc.partner.socrata.com/resource/ui7r-hsup.json,
57 With SOQL,https://capmanagementllc.partner.socrata.com/d/unxa-zcxx,,https://capmanagementllc.partner.socrata.com/resource/unxa-zcxx.json,
https://api.census.gov/data/1986/cbp,https://capmanagementllc.partner.socrata.com/d/quhs-a7xz/revisions/0,,,
5.08 Story Frequency of Crossing Collisions,https://capmanagementllc.partner.socrata.com/stories/s/8yqd-bvhu/preview,,,
Validator Logs,https://capmanagementllc.partner.socrata.com/d/ir2s-fux5/revisions/14,,,
Validator Logs,https://capmanagementllc.partner.socrata.com/d/ir2s-fux5/revisions/11,,,
Logs Test,https://capmanagementllc.partner.socrata.com/d/4hfm-xsnr/revisions/259,,,
View based on NCVAS State Summaries - Veteran Population Density by County (2018),https://capmanagementllc.partner.socrata.com/d/ip5z-wggz,,https://capmanagementllc.partner.socrata.com/resource/ip5z-wggz.json,
Resolution of commercial leases that expire this fiscal year,https://capmanagementllc.partner.socrata.com/d/svnq-tdri,,,
View based on NCVAS State Summaries - VA Facilities,https://capmanagementllc.partner.socrata.com/d/e8pv-ievz,,https://capmanagementllc.partner.socrata.com/resource/e8pv-ievz.json,
test automation,https://capmanagementllc.partner.socrata.com/d/qn48-gv4v/revisions/0,,,
New York (H),https://capmanagementllc.partner.socrata.com/stories/s/8iuh-yu3z/preview,,,
Goal 1.1.6,https://capmanagementllc.partner.socrata.com/d/eu7t-xi4v,,https://capmanagementllc.partner.socrata.com/resource/eu7t-xi4v.json,
